# vehicle id = 6
# model label  = FVDM1
# model category = TIME_CONTINUOUS_MODEL
# model name = Optimal-Velocity-Model / Full-Velocity-Difference-Model (short name: OVM_FVDM)
# physical vehicle length (in m) = 8.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      1.00,         0,     220.0,         1,      0.04,     0.083,   0.07668,   0.07668,     2.001,  -0.00443,     -1.00,  0.000000
      2.00,         0,     220.2,         1,      0.17,     0.167,   0.09779,   0.09779,     2.037,  -0.08712,     -1.00,  0.000000
      3.00,         0,     220.4,         1,      0.40,     0.311,   0.18140,   0.18140,     2.210,  -0.27083,     -1.00,  0.000000
      4.00,         0,     220.8,         1,      0.82,     0.553,   0.28007,   0.28007,     2.584,  -0.47337,     -1.00,  0.000000
      5.00,         0,     221.5,         1,      1.53,     0.879,   0.35226,   0.35226,     3.141,  -0.62882,     -1.00,  0.000000
      6.00,         0,     222.6,         1,      2.60,     1.255,   0.38688,   0.38688,     3.818,  -0.71561,     -1.00,  0.000000
      7.00,         0,     224.0,         1,      4.05,     1.646,   0.38991,   0.38991,     4.550,  -0.73798,     -1.00,  0.000000
      8.00,         0,     225.9,         1,      5.88,     2.026,   0.37097,   0.37097,     5.277,  -0.70890,     -1.00,  0.000000
      9.00,         0,     228.1,         1,      8.09,     2.378,   0.33784,   0.33784,     5.955,  -0.64274,     -1.00,  0.000000
     10.00,         0,     230.6,         1,     10.63,     2.691,   0.29605,   0.29605,     6.554,  -0.55341,     -1.00,  0.000000
     11.00,         0,     233.5,         1,     13.45,     2.959,   0.24981,   0.24981,     7.058,  -0.45373,     -1.00,  0.000000
     12.00,         0,     236.5,         1,     16.53,     3.181,   0.20279,   0.20279,     7.462,  -0.35460,     -1.00,  0.000000
     13.00,         0,     239.8,         1,     19.80,     3.357,   0.15817,   0.15817,     7.771,  -0.26416,     -1.00,  0.000000
     14.00,         0,     243.2,         1,     23.23,     3.490,   0.11839,   0.11839,     7.995,  -0.18728,     -1.00,  0.000000
     15.00,         0,     246.8,         1,     26.77,     3.588,   0.08490,   0.08490,     8.150,  -0.12589,     -1.00,  0.000000
     16.00,         0,     250.4,         1,     30.39,     3.657,   0.05818,   0.05818,     8.252,  -0.07955,     -1.00,  0.000000
     17.00,         0,     254.1,         1,     34.07,     3.702,   0.03791,   0.03791,     8.314,  -0.04643,     -1.00,  0.000000
     18.00,         0,     257.8,         1,     37.79,     3.731,   0.02325,   0.02325,     8.349,  -0.02401,     -1.00,  0.000000
     19.00,         0,     261.5,         1,     41.53,     3.748,   0.01315,   0.01315,     8.365,  -0.00972,     -1.00,  0.000000
     20.00,         0,     265.3,         1,     45.28,     3.757,   0.00654,   0.00654,     8.370,  -0.00126,     -1.00,  0.000000
     21.00,         0,     269.0,         1,     49.04,     3.761,   0.00245,   0.00245,     8.369,   0.00324,     -1.00,  0.000000
