# rho at max Q =   39.216
# max Q        = 1654.189
# rho[1/km],  s[m],vEq[km/h], Q[veh/h]
    0.00,     0.00,    54.00,     0.00
    2.50,   392.00,    54.00,   135.00
    5.00,   192.00,    54.00,   270.00
    7.50,   125.33,    54.00,   405.00
   10.00,    92.00,    54.00,   540.00
   12.50,    72.00,    54.00,   675.00
   15.00,    58.67,    54.00,   809.99
   17.50,    49.14,    53.99,   944.91
   20.00,    42.00,    53.97,  1079.37
   22.50,    36.44,    53.87,  1212.18
   25.00,    32.00,    53.62,  1340.51
   27.50,    28.36,    53.07,  1459.36
   30.00,    25.33,    52.05,  1561.42
   32.50,    22.77,    50.40,  1638.14
   35.00,    20.57,    48.05,  1681.67
   37.50,    18.67,    44.99,  1687.27
   40.00,    17.00,    41.38,  1655.02
   42.50,    15.53,    37.41,  1589.83
   45.00,    14.22,    33.33,  1499.97
   47.50,    13.05,    29.36,  1394.78
   50.00,    12.00,    25.66,  1282.79
   52.50,    11.05,    22.30,  1170.61
   55.00,    10.18,    19.32,  1062.74
   57.50,     9.39,    16.73,   961.82
   60.00,     8.67,    14.48,   869.09
   62.50,     8.00,    12.56,   784.84
   65.00,     7.38,    10.90,   708.80
   67.50,     6.81,     9.49,   640.41
   70.00,     6.29,     8.27,   578.94
   72.50,     5.79,     7.22,   523.65
   75.00,     5.33,     6.32,   473.82
   77.50,     4.90,     5.53,   428.77
   80.00,     4.50,     4.85,   387.92
   82.50,     4.12,     4.25,   350.74
   85.00,     3.76,     3.73,   316.76
   87.50,     3.43,     3.26,   285.58
   90.00,     3.11,     2.85,   256.87
   92.50,     2.81,     2.49,   230.31
   95.00,     2.53,     2.16,   205.65
   97.50,     2.26,     1.87,   182.67
  100.00,     2.00,     1.61,   161.18
  102.50,     1.76,     1.38,   141.00
  105.00,     1.52,     1.16,   122.00
  107.50,     1.30,     0.97,   104.05
  110.00,     1.09,     0.79,    87.03
  112.50,     0.89,     0.63,    70.86
  115.00,     0.70,     0.48,    55.44
  117.50,     0.51,     0.35,    40.71
  120.00,     0.33,     0.22,    26.60
  122.50,     0.16,     0.11,    13.04
  125.00,     0.00,     0.00,     0.00
