# vehicle id = 16
# model label  = IDM1
# model category = TIME_CONTINUOUS_MODEL
# model name = Intelligent-Driver-Model (short name: IDM)
# physical vehicle length (in m) = 8.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      1.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      2.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      3.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      4.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,   0.00000,     -1.00,  0.000000
      5.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
      6.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
      7.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
      8.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
      9.00,         0,     120.0,         1,      0.00,     0.000,   0.00000,   0.00000,     2.000,  -0.00000,     -1.00,  0.000000
     10.00,         0,     120.0,         1,      0.00,     0.000,   0.00001,   0.00001,     2.000,  -0.00003,     -1.00,  0.000000
     11.00,         0,     120.0,         1,      0.00,     0.000,   0.00007,   0.00007,     2.000,  -0.00028,     -1.00,  0.000000
     12.00,         0,     120.0,         1,      0.00,     0.000,   0.00046,   0.00046,     2.001,  -0.00164,     -1.00,  0.000000
     13.00,         0,     120.0,         1,      0.00,     0.002,   0.00232,   0.00232,     2.005,  -0.00710,     -1.00,  0.000000
     14.00,         0,     120.0,         1,      0.00,     0.007,   0.00895,   0.00895,     2.019,  -0.02348,     -1.00,  0.000000
     15.00,         0,     120.0,         1,      0.02,     0.026,   0.02685,   0.02685,     2.059,  -0.06100,     -1.00,  0.000000
     16.00,         0,     120.1,         1,      0.07,     0.073,   0.06406,   0.06406,     2.151,  -0.12773,     -1.00,  0.000000
     17.00,         0,     120.2,         1,      0.18,     0.172,   0.12462,   0.12462,     2.324,  -0.22261,     -1.00,  0.000000
     18.00,         0,     120.4,         1,      0.43,     0.343,   0.20407,   0.20407,     2.602,  -0.33477,     -1.00,  0.000000
     19.00,         0,     120.9,         1,      0.90,     0.599,   0.29162,   0.29162,     2.995,  -0.45021,     -1.00,  0.000000
     20.00,         0,     121.7,         1,      1.66,     0.942,   0.37658,   0.37658,     3.500,  -0.55847,     -1.00,  0.000000
     21.00,         0,     122.8,         1,      2.81,     1.365,   0.45242,   0.45242,     4.107,  -0.65445,     -1.00,  0.000000
     22.00,         0,     124.4,         1,      4.42,     1.857,   0.51682,   0.51682,     4.804,  -0.73692,     -1.00,  0.000000
     23.00,         0,     126.5,         1,      6.55,     2.407,   0.56992,   0.56992,     5.577,  -0.80648,     -1.00,  0.000000
     24.00,         0,     129.2,         1,      9.25,     3.003,   0.61276,   0.61276,     6.413,  -0.86410,     -1.00,  0.000000
     25.00,         0,     132.6,         1,     12.56,     3.637,   0.64639,   0.64639,     7.301,  -0.91046,     -1.00,  0.000000
