# vehicle id = 6
# model label  = NEWELL1
# model category = ITERATED_COUPLED_MAP_MODEL
# model name = Newell-Model (short name: NEWELL)
# physical vehicle length (in m) = 6.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      5.00,         0,     220.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     10.00,         0,     248.5,         1,     28.50,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     15.00,         0,     323.5,         1,    103.50,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     20.00,         0,     398.5,         1,    178.50,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     25.00,         0,     473.5,         1,    253.50,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     30.00,         0,     548.5,         1,    328.50,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     35.00,         0,     623.5,         1,    403.50,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     40.00,         0,     698.5,         1,    478.50,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     45.00,         0,     773.5,         1,    553.50,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     50.00,         0,     848.5,         1,    628.50,    15.000,   0.00000,   0.00000,    32.500,   0.00000,     -1.00,  0.000000
     55.00,         0,     923.5,         1,    703.50,    15.000,   0.00000,   0.00000,    30.344,   4.31250,     -1.00,  0.000000
     60.00,         0,     959.2,         1,    739.15,     0.000,   0.00000,   0.00000,     1.722,   0.00000,     -1.00,  0.000000
