# vehicle id = 21
# model label  = NEWELL1
# model category = ITERATED_COUPLED_MAP_MODEL
# model name = Newell-Model (short name: NEWELL)
# physical vehicle length (in m) = 6.00
# position x is defined by vehicle front (on the given road segment)
#     t[s],      lane,      x[m],    roadId,totalTravelledDistance[m],    v[m/s],  a[m/s^2],aModel[m/s^2],    gap[m],   dv[m/s],distToTrafficlight[m],fuelFlow[ml/s]
      5.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     10.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     15.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     20.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     25.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     30.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,     4.000,   0.00000,     -1.00,  0.000000
     35.00,         0,      70.0,         1,      0.00,     0.000,   0.00000,   0.00000,    10.281, -12.56250,     -1.00,  0.000000
     40.00,         0,     121.7,         1,     51.70,    15.000,   0.00000,   0.00000,    32.359,   0.00000,     -1.00,  0.000000
     45.00,         0,     196.7,         1,    126.70,    15.000,   0.00000,   0.00000,    32.359,   0.00000,     -1.00,  0.000000
     50.00,         0,     271.7,         1,    201.70,    15.000,   0.00000,   0.00000,    32.359,   0.00000,     -1.00,  0.000000
     55.00,         0,     346.7,         1,    276.70,    15.000,   0.00000,   0.00000,    32.359,   0.00000,     -1.00,  0.000000
     60.00,         0,     421.7,         1,    351.70,    15.000,   0.00000,   0.00000,    32.359,   0.00000,     -1.00,  0.000000
