# rho at max Q =   35.948
# max Q        = 1718.203
# rho[1/km],  s[m],vEq[km/h], Q[veh/h]
    0.00,     0.00,    54.00,     0.00
    3.33,   294.00,    54.00,   180.00
    6.67,   144.00,    54.00,   360.00
   10.00,    94.00,    54.00,   540.00
   13.33,    69.00,    54.00,   720.00
   16.67,    54.00,    54.00,   900.00
   20.00,    44.00,    54.00,  1080.00
   23.33,    36.86,    54.00,  1260.00
   26.67,    31.50,    54.00,  1440.00
   30.00,    27.33,    54.00,  1620.00
   33.33,    24.00,    52.58,  1752.57
   36.67,    21.27,    42.55,  1560.00
   40.00,    19.00,    34.20,  1368.00
   43.33,    17.08,    27.14,  1176.00
   46.67,    15.43,    21.09,   984.00
   50.00,    14.00,    15.84,   792.00
   53.33,    12.75,    11.25,   600.00
   56.67,    11.65,     7.20,   408.00
   60.00,    10.67,     3.60,   216.00
   63.33,     9.79,     0.43,    27.09
   66.67,     9.00,     0.08,     5.16
   70.00,     8.29,     0.02,     1.68
   73.33,     7.64,     0.01,     0.61
   76.67,     7.04,     0.00,     0.23
   80.00,     6.50,     0.00,     0.09
   83.33,     6.00,     0.00,     0.03
   86.67,     5.54,     0.00,     0.01
   90.00,     5.11,     0.00,     0.00
   93.33,     4.71,     0.00,     0.00
   96.67,     4.34,     0.00,     0.00
  100.00,     4.00,     0.00,     0.00
  103.33,     3.68,     0.00,     0.00
  106.67,     3.38,     0.00,     0.00
  110.00,     3.09,     0.00,     0.00
  113.33,     2.82,     0.00,     0.00
  116.67,     2.57,     0.00,     0.00
  120.00,     2.33,     0.00,     0.00
  123.33,     2.11,     0.00,     0.00
  126.67,     1.89,     0.00,     0.00
  130.00,     1.69,     0.00,     0.00
  133.33,     1.50,     0.00,     0.00
  136.67,     1.32,     0.00,     0.00
  140.00,     1.14,     0.00,     0.00
  143.33,     0.98,     0.00,     0.00
  146.67,     0.82,     0.00,     0.00
  150.00,     0.67,     0.00,     0.00
  153.33,     0.52,     0.00,     0.00
  156.67,     0.38,     0.00,     0.00
  160.00,     0.25,     0.00,     0.00
  163.33,     0.12,     0.00,     0.00
  166.67,     0.00,     0.00,     0.00
